serial_num,raw_sent
20, 马长礼/nh 表示/v ，/w 要/vu 为/p 振兴/v 河北梆子/n 带好/v 学生/n 。/w 
21, 从而/c 为/p 抄袭/v 创造/v 了/u 条件/n ；/w 第/h 十一/m 考场/n 考生/n 是/vl 本校/n 学生/n ，/w 主考/n 教师/n 亦/d 是/vl 本校/n 教师/n 。/w 
22, 几/m 天/nt 来/u ，/w 驻/v 保定市/ns 的/u 一０四野战医院/ni 在/p 力所能及/i 的/u 范围/n 内/nd ，/w 为/p 附近/n 前卫路小学/ni 做/v 了/u 三/m 件/q 好事/n ：/w 本月/nt 十一/m 日/nt ，/w 医院/n 副/h 院长/n 李子元/nh 带/v 着/u 几/m 名医/n 务/n 人员/n 到/v 该/r 校/n ，/w 为/p 七十/m 多/m 名/q 学生/n 和/c 教师/n 看/v 了/u 病/n ，/w 为/p 六十/m 多/m 名/q 师生/n 做/v 心电图/n ；/w 前天/nt ，/w 医院团工委/ni 负责人/n 到/v 学校/n 给/p 学生/n 们/k 讲/v 雷锋/nh 的/u 故事/n ，/w 讲/v 雷锋/nh 日记/n 和/c 各行各业/i 学/v 雷锋/nh 的/u 先进/a 事迹/n ；/w 前天/nt 和/c 昨天/nt ，/w 又/d 为/p 学生/n 们/k 专场/n 免费/v 放映/v 电影/n 故事片/n 《/w 祝福/v 》/w 和/c 《/w 雷锋/nh 之/u 歌/n 》/w 。/w 
23, 中国/ns 已/d 有/v 三千/m 多/m 所/q 中学/n 开展/v 计算机/n 教学/n ，/w 接受/v 教育/v 的/u 学生/n 达/v 三十五万/m 人/n 。/w 
24, 有关/v 部门/n 负责人/n 重申/v ，/w 国家/n 在/p 今年/nt 的/u 劳动/n 工资/n 计划/n 和/c 干部/n 计划/n 中/nd 已/d 做/v 了/u 安排/v ，/w 对/p 已/d 纳入/v 国家/n 统一/v 招生/v 计划/n 的/u 本/n 专科/n 学生/n 和/c 研究生/n ，/w 凡/d 取得/v 毕业/v 资格/n ，/w 服从/v 国家/n 需要/v ，/w 国家/n 都/d 将/d 负责/v 安排/v 工作/n 。/w 
25," 刘小勇/nh 亲自/d 审核/v 制定/v 了/u ""/w 教师/n 管理/v 制度/n ""/w 、/w ""/w 学生/n 管理/v 制度/n ""/w ，/w 强化/v 了/u 管理/v ，/w 提高/v 了/u 教师/n 的/u 积极性/n ，/w 学生/n 成绩/n 有/v 了/u 大幅度/n 上升/v 。/w "
26, 上/v 初中/j 时/nt ，/w 学校/n 有/v 个/q 校办/v 农场/n ，/w 一/d 到/v 收获/v 的/u 季节/nt 便/d 要/vu 学生/n 们/k 去/v 帮忙/v ，/w 有时/d 是/vl 拔/v 麦子/n ，/w 有时/d 是/vl 收/v 花生/n 。/w 
27, 他/r 从小/d 学/v 到/v 中学/n 的/u 学生/n 档案/n 上/nd 基本/n 上/nd 是/vl 三/m 个/q 字/n ：/w 优/a 、/w 良/a 、/w 好/a 。/w 
28, 该/r 法院/n 竟/d 受理/v 了/u 他/r 的/u 指控/v ，/w 并/c 作/v 了/u 偏袒/v 的/u 判决/v ，/w 说/v 学校/n 和/c 教科书/n 不/d 应/vu 把/p 进化论/n 视为/v “/w 正式/a 的/u 教义/n ”/w 和/c “/w 最终/d 的/u 起源/n ”/w 而/c 强迫/v 学生/n 接受/v 。/w 
29, 这/r 支/q 由/p 工人/n 、/w 干部/n 、/w 学生/n 、/w 军人/n 、/w 教师/n 、/w 医生/n 、/w 记者/n 等/u 组成/v 的/u 近/a 千/m 人/n 的/u 助残/v 志愿者/n ，/w 怀/v 着/u 一/m 颗/q 无私/a 奉献/v 的/u 爱心/n ，/w 为/p 残疾人/n 排忧解难/i ，/w 赢得/v 了/u 残疾人/n 及其/c 家属/n 的/u 信赖/v ，/w 也/d 赢得/v 了/u 社会/n 各界/n 的/u 赞誉/v 。/w 
30, 为了/p 解决/v 学生/n 没有/v 机会/n 接触/v 计算机/n 的/u 问题/n ，/w 郑州工学院/ni 在/p 有关/p 单位/n 协作/v 支持/v 下/nd ，/w 采用/v 国产/a ＤＪＳ/ws １３０/m 小型/a 计算机/n ，/w 增/v 配/v 了/u 磁盘/n 机/n 、/w 多/a 路/n 通讯/n 控制器/n 和/c １２/m 台/q （/w 可/vu 接/v １６/m 台/q ）/w 联机/v 终端/n 设备/n ，/w 配上/v 了/u 实时/nt 磁盘/n 操作系统/n 及其/c 支持/v 下/nd 的/u 多/a 用户/n 基础/n 语言/n 和/c 公式/n 翻译/v 语言/n 等/u 系统/n 软件/n 和/c 应用/v 软件/n ，/w 构成/v 了/u 一个/mq 有效/a 的/u 计算机/n 教学/n 系统/n 。/w 
31, 这/r 套/q 教学/n 系统/n 的/u 建成/v ，/w 可以/vu 初步/a 解决/v 学生/n 上机/v 实习/v 的/u 问题/n ，/w 还/d 可/vu 开展/v 学生/n 的/u 课程/n 设计/v 、/w 毕业/v 设计/v 和/c 学校/n 科研/n 工作/n 。/w 
32, 教育界/n 的/u 许多/a 有识之士/n 告诉/v 记者/n ，/w 我们/r 的/u 大学/n 要/vu 想/v 不/d 在/p 世界/n 上/nd 落后/a ，/w 一定/d 要/vu 从/p 现在/nt 起/v 就/d 树立/v 新/a 的/u 人才/n 意识/n ，/w 即/d 培养/v 学生/n 自立/v 、/w 竞争/v 、/w 创新/v 和/c 国际/n 意识/n 。/w 
33, 在/p 国家/n 的/u 教育方针/n 指导/v 下/nd ，/w 每个/r 学校/n 要/vu 有/v 自己/r 的/u 个性/n ，/w 每个/r 专业/n 要/vu 有/v 自己/r 的/u 个性/n ，/w 每个/r 学生/n 都/d 应/vu 因材施教/i ，/w 充分/a 发展/v 他/r 的/u 潜能/n 。/w 
34, 过去/nt ，/w 古典音乐/n 的/u 欣赏者/n 大多数/n 是/vl 学生/n 和/c 知识分子/n 。/w 
35, 我们/r 应该/vu 坚信/v ，/w 广大/a 群众/n 包括/v 青年/n 学生/n 的/u 绝大多数/n 是/vl 拥护/v 党/n 的/u 领导/n 、/w 拥护/v 社会主义制度/n 的/u 。/w 
36, 因此/c ，/w 做好/v 青年/n 的/u 思想/n 政治/n 工作/n ，/w 尤其/d 是/vl 加强/v 对/p 青年/n 学生/n 的/u 思想政治教育/n ，/w 使/v 他们/r 在/p 政治/n 上/nd 逐步/d 成熟/a 起来/vd ，/w 能够/vu 坚持/v 四项基本原则/n ，/w 识别/v 和/c 抵制/v 资产阶级/n 自由化/v 思潮/n ，/w 成为/v 有/v 理想/n 、/w 有/v 道德/n 、/w 有/v 文化/n 、/w 有/v 纪律/n 的/u 新人/n ，/w 这/r 对/p 我们/r 事业/n 的/u 发展/v 、/w 国家/n 的/u 未来/nt ，/w 有/v 特别/d 重要/a 的/u 深远/a 的/u 意义/n 。/w 
37, 许多/a 群众/n 包括/v 青年/n 学生/n 希望/v 加快/v 民主/n 法制/n 建设/n ，/w 是/vl 可以/vu 理解/v 的/u ，/w 是/vl 同/p 党/n 和/c 政府/n 的/u 主张/n 一致/a 的/u 。/w 
38, 为了/p 让/p 更/d 多/a 的/u 初中/j 毕业生/n 能/vu 继续/v 学习/v ，/w 许杰夫/nh 同/p 教育/n 部门/n 的/u 负责/v 同志/n 一道/d 研究/v 后/nd 决定/v ，/w 凡/a 能/vu 加/v 一/m 张/q 桌子/n 、/w 一个/mq 凳子/n 的/u 教室/n 就要/vu 多/d 收/v 一个/mq 学生/n ；/w 在/p 有/v 条件/n 的/u 学校/n ，/w 由/p 政府/n 补助/n 修建/v 简易/a 教室/n 。/w 
39, 《/w 规定/n 》/w 指出/v ，/w 报考/v 人员/n 必须/d 拥护/v 中国共产党/ni 的/u 领导/n ，/w 拥护/v 社会主义制度/n ，/w 遵纪守法/i ，/w 热爱/v 劳动/n ，/w 决心/v 为/p 社会主义/n 现代化/v 建设/n 而/c 勤奋/a 学习/v 、/w 努力/v 攀登/v 科学/n 高峰/n ；/w 必须/d 是/vl 高等学校/n 本科/n 毕业/v （/w 含/v 高等学校/n 本科/n 应届/a 毕业生/n ，/w 即/v 在/p １９８２/m 年/nt 春季/nt 毕业/v 的/u 四/m 年/nt 制/k 学生/n ）/w 或/c 同等/a 学力/n ，/w 身体/n 健康/a ，/w 年龄/nt 不/d 超过/v ３５/m 周岁/nt （/w １９４７/m 年/nt ２/m 月/nt １/m 日后/nt 出生/v ）/w 。/w 
40, 高等学校/n 本科/n 非/d 应届/a 毕业/v 的/u 在校/v 学生/n 和/c 专科/n 应届/a 毕业生/n 不能/vu 报考/v 。/w 
41, 在校/v 研究生/n ，/w 高等学校/n 专科/n 在校/v 学生/n ，/w 广播电视大学/n 、/w 职工/n 高等学校/n 和/c 农民/n 高等学校/n 等/u 脱产/v 或/c 半/m 脱产/v 的/u 在校/v 学生/n ，/w 中等/a 专业/n 学校/n 的/u 应届/a 毕业生/n ，/w 以及/c 无/v 正当/a 理由/n 退学/v 的/u 高等学校/n 本科/n 学生/n ，/w 一律/d 不能/vu 报考/v 。/w 
42, 高等学校/n 应届/a 本科/n 毕业生/n 或/c 个别/d 的/u 非/d 应届/a 毕业/v 的/u 在校/v 学生/n 和/c 专科/n 应届/a 毕业生/n 报考/v ，/w 均需/v 由/p 考生/n 所在/n 学校/n 填写/v 《/w 高等学校/n 历年/nt 学习/n 成绩/n 表/n 》/w 。/w 
43, 对于/p 同等/a 学力/n 以及/c 经/v 推荐/v 报考/v 的/u 个别/d 的/u 高等学校/n 本科/n 非/d 应届/a 毕业/v 的/u 在校/v 学生/n 和/c 专科/n 应届/a 毕业生/n ，/w 必须/d 复试/v ，/w 复试/n 科目/n 、/w 时间/n 和/c 地点/n 由/p 招生/v 单位/n 通知/n 。/w 
44, 报考/v 研究生/n 的/u 主要/a 对象/n 是/vl １９７７/m 届/q 入学/v 的/u 、/w 在/p １９８２/m 年/nt 春季/nt 毕业/v 的/u 大学/n 本科/n 四/m 年/nt 制/k 学生/n ；/w 考试/v 要求/v 更为/d 严格/a ，/w 命题/n 标准/n 也/d 有所/v 提高/v ；/w 教育部/ni 不再/d 拟定/v 最低/a 录取/v 标准/n ，/w 招生/v 单位/n 在/p 录取/v 中/nd 的/u 权力/n 相应/v 扩大/v 。/w 
45, 因此/c ，/w 今年/nt 报考/v 研究生/n 的/u 主要/a 对象/n 是/vl １９７７/m 届/q 入学/v 的/u 、/w 在/p １９８２/m 年/nt 春季/nt 毕业/v 的/u 大学/n 本科/n 四/m 年/nt 制/k 学生/n 。/w 
46, 今年/nt 的/u 试题/n 以/p １９７７/m 年/nt 入学/v 的/u 高等学校/n 本科/n 的/u 优秀/a 学生/n 为/vl 对象/n ，/w 试题/n 的/u 难度/n 是以/c 这/r 批/q 优秀/a 学生/n 能/vu 取得/v 及格/v 或/c 及格/v 以上/nd 的/u 成绩/n 为准/v 。/w 
47, 到/v １９８２/m 年底/nt ，/w 设有/v 会计/n 专业/n 的/u 大专院校/n 共/d 五十/m 所/q ，/w 在校/v 学生/n 达/v 八千九百/m 多/m 人/n ；/w 中等/a 专业/n 学校/n 四百三十八/m 所/q ，/w 在校/v 学生/n 五万四千/m 多/m 人/n 。/w 
48, “/w 学生/n 公寓/n 型/k ”/w 旅馆/n 。/w 
49, 他们/r 马上/d 就/d 在/p 丝绸/n 工学院/n 对门/n 建造/v 了/u 一/m 幢/q 学生/n 公寓/n ，/w 八十/m 张/q 双人床/n ，/w 还/d 附设/v 两/m 间/q 教室/n 、/w 上百/m 张/q 课桌/n ，/w 学生/n 在/p 这里/r 住宿/v 方便/a ，/w 还/d 能/vu 有/v 地方/n 上课/v 、/w 自修/v ，/w 条件/n 不亚于/v 高等/a 学府/n 。/w 
50, 中国人民大学/ni 的/u 学生/n 咖啡厅/n 、/w 北京师范大学/ni 的/u 商业/n 一/m 层/q 楼/n ，/w 名/n 播/v 京华/n ；/w 教师/n 卖/v 小吃/n 、/w 博士/n 摆/v 商/n 摊/n 、/w 大学生/n 当起/v 校园/n 个体户/n ，/w 已/d 非/d 新闻/n 。/w 
51, 中国人民大学/ni 哲学系/n 一/m 位/q 老师/n 告诉/v 记者/n ，/w 她/r 讲课/v 时/nt ，/w 学生/n 从/p 最后/n 一/m 排/q 坐起/v ，/w 问/v 原因/n ，/w 答曰/v ：/w “/w 溜/v 起来/vd 方便/a 。/w ”/w 
52, 有的/r 班级/n 学生/n 轮流/d 来/vd 听课/v ，/w 来/vd 的/u 人/n 指定/v 一/m 人/n 记/v 笔记/n ，/w 其余/r 人/n 搞/v “/w 副业/n ”/w ，/w 问/v 为何/d 还有/v 一/m 人/n 记/v 笔记/n ，/w 答曰/v ：/w “/w 应付/v 考试/v ”/w 。/w 
53, 杭州大学/ni 去年/nt 开除/v 几/m 名/q 学生/n ，/w 被/p 开除/v 者/k 竟然/d 为此/c 设宴/v 感谢/v 老师/n 。/w 
54, 比/p 少数/n 学生/n 厌学/v 更/d 值得/v 注意/v 的/u ，/w 是/vl 少数/n 教师/n 厌/v 教/v 。/w 
55, 这/r 种/q 教育/n 体制/n 的/u 一个/mq 突出/a 特点/n ，/w 是/vl 国家/n 的/u 大/a 包/v 大/a 统/v ，/w 从/p 建/v 校/n 、/w 专业/n 设置/v 、/w 投资/v 拨款/v 到/v 学生/n 的/u 招收/v 与/c 分配/v 都/d 靠/p 国家/n 的/u 一/m 本/q 计划/n 。/w 
56, 这/r 种/q “/w 产品/n ”/w 模式/n 妨碍/v 了/u 人/n 的/u 个性/n 发展/v ，/w 旧/a 的/u 教育/n 体制/n 影响/v 了/u 学校/n 、/w 教师/n 和/c 学生/n 的/u 活力/n ，/w 导致/v 教学/n 的/u 僵化/v 和/c 教育/n 生产力/n 的/u 萎缩/v 。/w 
57, 因为/c 升成/v 大学/n 后/nd ，/w 校/n 领导/n 可/vu 随/p 之/r 升官/v ，/w 教师/n 们/k 晋升/v 职称/n 的/u 比例/n 增加/v ，/w 经费/n 和/c 学生/n 出路/n 反正/d 有/v 国家/n 大包大揽/i ，/w 何乐而不为/i 呢/u ？/w 
58, 至于/v 学校/n 办/v 什么/r 系/n 、/w 设/v 什么/r 专业/n 、/w 开/v 什么/r 课/n 、/w 要/vu 多少/r 老师/n 、/w 招/v 多少/r 学生/n …/w …/w 更有/v 一/m 本/q 统一/v 的/u 计划/n 管/v 着/u 。/w 
59, １９８８/m 年初/nt ，/w 国家教委/j 打算/v 出台/v 一/m 项/q 改革/n 方案/n ：/w 从/p １９８９/m 年/nt 起/v ，/w 高校/j 将/p 招收/v 不/d 包/v 分配/v 的/u 学生/n 。/w 
60, 消息/n 一经/d 新闻/n 媒介/n 披露/v ，/w 教育界/n 内外/nd 舆论/n 哗然/a ，/w 不少/a 人/n 认为/v 条件/n 不/d 成熟/a ，/w 学生/n 尤其/d 担心/v 竞争/v 缺乏/v 平等/a 的/u 机会/n ，/w 对/p 改革/n 持/v 怀疑/v 态度/n 。/w 
61, 陈敏恒/nh 敏锐/a 地/u 地/u 察觉/v 到/v ，/w 商品经济/n 的/u 冲击/v 会/vu 首先/d 在/p 学生/n 就业/v 上/nd 反映/v 出来/vd ，/w 学生/n 最/d 早/a 承受/v 着/u 来自/v 社会/n 的/u 压力/n 。/w 
62, 他/r 的/u 基本/a 思路/n 是/vl 把/p 学生/n 的/u 压力/n 传递/v 给/p 教师/n 和/c 学校/n 的/u 全体/n 职工/n 。/w 
63, 学校/n 实行/v 了/u 教师/n 挂牌/v 上课/v 制度/n ，/w 学生/n 可以/vu 选择/v 老师/n ，/w 选择/v 课程/n ；/w 以/p 学生/n 听课/v 人数/n 多寡/n 与/c 教学/v 质量/n 高低/d 来/vd 衡量/v 教师/n 的/u 工作/n 实绩/n ，/w 并/c 与/c 待遇/n 、/w 职称/n 等/u 挂钩/v 。/w 
64, 调查/v 者/k 说/v ：/w “/w 毫无疑问/i ，/w 应/vu 给/p 中国/ns 的/u 教授/n 提高/v 工资/n ，/w 但/c 他们/r 教/v 的/u 学生/n 也/d 应该/vu 更/d 多/a 。/w ”/w 
65, 更/d 值得/v 忧虑/v 的/u ，/w 就是/d 突然/d 弥漫/v 的/u “/w 厌/v 学风/n ”/w ，/w 厌学/v 的/u 学生/n 比例/n 虽/c 不大/a ，/w 但/c 此/r “/w 风/n ”/w 扰乱/v 人心/n 。/w 
66, 从/p 校外/nl 来/vd 读/v 夜大学/n 的/u 学生/n ，/w 自行车/n 列成/v 方阵/n ，/w 蔚为壮观/i 。/w 
67, 商品经济/n 的/u 社会/n 存在/v 必将/d 改变/v 学生/n 的/u 观念/n 。/w 
68, 陈敏恒/nh 对/p 华东化工学院/ni 的/u 学生/n 作/v 了/u 仔细/a 的/u 分析/v 。/w 
69, 这/r 当然/d 不能/vu 怪/v 学生/n ，/w 而是/vl 我们/r 高等教育/n 本身/n 的/u 问题/n 。/w 
70, 一方面/n ，/w 要/vu 教给/v 学生/n 谋生/v 手段/n 、/w 择业/v 能力/n 和/c 培养/v 其/r 风险/n 意识/n ；/w 另一方面/c ，/w 要/vu 教给/v 他们/r 基本/a 知识/n 、/w 做人/v 的/u 道理/n 和/c 自我/r 修养/n 的/u 方法/n ，/w 使/v 学生/n 的/u 个性/n 得到/v 充分/a 发展/v ，/w 走上/v 社会/n 后/nd 能/vu 适应/v 环境/n ，/w 选择/v 最/d 能/vu 发挥/v 自己/r 才能/n 的/u 职业/n ，/w 而/c 不是/vl 一味/d 地/u 依靠/v 国家/n 。/w 
71, “/w 把/p 阴影/n 放/v 在/p 众多/a 的/u 目光/n 前/nd 曝光/v ”/w 的/u 展览/n 用/p ３００/m 多/m 幅/q 照片/n 和/c ５０/m 多/m 个/q 数据/n ，/w 反映/v 了/u 少数/n 学生/n 铺张浪费/i 、/w 损坏/v 公物/n 等/u 不/d 文明/a 行为/n ：/w 仅/d １０/m 月份/nt ，/w 学院/n ４/m 个/q 学生/n 食堂/n 被/p 丢弃/v 的/u 米饭/n 和/c 馒头/n 达/v ２４８５/m 公斤/q ；/w 新建/v 的/u 教学楼/n 使用/v 不到/v 一/m 年/nt ，/w 窗户/n 上/nd 滑动/v 风/n 钩/n 就/d 损坏/v 了/u １０８０/m 只/q ，/w ３１２/m 只/q 开关/n 损坏/v ，/w 墙上/nl 的/u 脚印/n 表明/v ，/w 有的是/v “/w 随/p 脚/n 关灯/v ”/w 踹/v 坏/a 的/u ，/w 玻璃/n 则/c 破碎/v ４０/m ％/w ，/w 甚至/d 铝合金/n 门/n 上/nd 的/u 大/a 茶色/n 玻璃/n 也/d 未能/vu 幸免/v ；/w 私/d 接/v 电线/n 、/w 违章/v 使用/v 电器/n 情况/n 普遍/a 存在/v ，/w 学院/n 一/m 年中/nt 从/p 学生/n 宿舍/n 中/nd 收缴/v 电炉/n 等/u 电器/n 近/a ３００/m 件/q ，/w 总/a 功率/n 达/v ２２/m ．/w ３/m 万/m 瓦/q 。/w 
72, 有的/r 学生/n 早上/nt ９/m 点/nt 钟/n 起身/v ，/w 下午/nt 午休/v ３/m 点/nt 钟/n 离/v 床/n ，/w 还/d 自封/v 雅号/n ：/w “/w 九三学社/ni 社员/n ”/w 。/w 
73, 这个/r 展览/n 在/p 全/a 院/n 师生/n 中/nd 引起/v 了/u 震动/v ，/w 三/m 年级/n 学生/n 秦鸿/nh 说/v ：/w “/w 展览/n 给/p 我们/r 提供/v 了/u 全面/a 评价/v 自己/r 的/u 机会/n 。/w ”/w 
74, 二/m 年级/n 学生/n 董关文/nh 说/v ：/w “/w 今后/nt 要/vu 从/p 我/r 做起/v ，/w 不仅/c 洁身自好/i ，/w 更/d 要/vu 勇敢/a 地/u 站出来/v 制止/v 这些/r 不/d 文明/a 行为/n 。/w ”/w 
75, 另外/d ，/w 要/vu 培养/v 学生/n 的/u 劳动/n 观点/n ，/w 不能/vu 把/p 勤工俭学/i 当作/v 累赘/a 。/w 
76, 现在/nt ，/w 学生/n 干活/v 不出/v 活/n ，/w 还要/v 为/p 他们/r 准备/v 好/a 各种/r 工具/n ，/w 不如/v 花钱/v 雇/v 农/n 民工/n 省事/a 。/w 
77, 要/vu 把/p 勤工俭学/i 当作/v 培养/v 学生/n 全面发展/i 的/u 必要/a 环节/n 和/c 手段/n ，/w 只有/c “/w 汗滴/n 禾/n 下/nd 土/n ”/w ，/w 方知/v “/w 粒/n 粒/n 皆/d 辛苦/a ”/w 。/w 
78, 比如/c ，/w 学生/n 助学金/n 改为/v 奖学金/n 和/c 贷学金/n 以后/nt ，/w 提倡/v 学生/n 不/d 抽烟/v 等/u ，/w 学院/n 里/nd 的/u 两/m 个/q 小卖部/n 营业额/n 就/d 下降/v 了/u 一半/m ，/w 灵/a 得/u 很/d 。/w 
79, 记者/n 了解/v 到/v ，/w 针对/p 有些/m 学生/n 宿舍/n 中/nd “/w 没/d 处/n 下脚/v 、/w 没/d 处/n 坐/v ”/w 的/u 状况/n ，/w 华东工学院/ni 在/p 三/m 系/n 学生/n 宿舍/n 实行/v 了/u “/w 自我/r 管理/v 、/w 自我教育/v 、/w 自我/r 服务/v ”/w 的/u 试点/v ，/w 一/m 年/nt 来/vd 效果/n 明显/a ，/w 全/a 院/n 将/p 逐步/d 推广/v 。/w 
80, 他/r 代表/v 日本京都大学/ni 学生/n 山岳会/nh 向/p 中方/n 遇难/v 队员/n 家属/n 表示/v 慰问/v ，/w 愿意/vu 为/p 他们/r 的/u 孩子/n 今后/nt 的/u 学习/v 给予/v 帮助/v 。/w 
81," １９８７/m 年/nt ８/m 月/nt ２８/m 日/nt ，/w 柯桥/ns 实验/n 区/n 建立/v 的/u 第二/m 天/nt ，/w 浙江省/ns 教委/j 主任/n 邵宗杰/nh 在/p 实验/n 区/n 教师/n 代表大会/n 上/nd ，/w 谈及/v 实验/n 的/u 指导/v 思想/n 时/nt ，/w 大讲/v ""/w 从/p 三/m 个/q 不/d 相信/v ，/w 到/v 三/m 个/q 相信/v ""/w ：/w 以前/nt 是/vl 教育/v 局长/n 不/d 相信/v 校长/n （/w 要/vu 看/v 统考/v ）/w ；/w 校长/n 不/d 相信/v 教师/n （/w 要/vu 算/v 班级/n 总/a 平均分/n ）/w ；/w 教师/n 不/d 相信/v 学生/n （/w 要/vu 看/v 成绩/n ）/w 。/w "
